泌阳县羊册镇王续奶粉专卖:{"lng":113.26009827017658,"lat":32.99181051228516}
徐泾87(农工商):{"lng":121.2824771376062,"lat":31.177968360151656}
晋中平遥县咿咿呀呀孕婴童生活馆:{"lng":112.26549326017494,"lat":37.14808977846167}
上海市普陀区明成食品农产品商行:{"lng":121.39844294374956,"lat":31.263742929075534}
上海鼎鼎水果行:{"lng":121.39414377888973,"lat":31.258335660806633}
上海市松江区九亭镇授启副食品经营部:{"lng":121.33564508204556,"lat":31.13840424886325}
上海吾家科技有限公司:{"lng":121.49228392444816,"lat":31.402928601366725}
华联大统:{"lng":119.1937999573606,"lat":34.60444386600099}
30024880 易初莲花上海配送中心-裕田(:{"lng":121.4787504237367,"lat":31.34763009786891}
澄桥:{"lng":121.27822303220258,"lat":31.404021420156703}
宁国市徽杨食品销售有限公司:{"lng":118.9970245259805,"lat":30.502936034942636}
奎照路店:{"lng":121.4776089855523,"lat":31.306273935172964}
鹰潭市齐马贸易有限公司:{"lng":117.03545018601243,"lat":28.241309597181967}
24.联华南丹店:{"lng":121.43667881966867,"lat":31.196535452502786}
X553 家乐福上海莘庄店:{"lng":121.39391157679675,"lat":31.111763911985943}
上海踏浪精细化工有限公司:{"lng":121.85215347676623,"lat":31.06810940866157}
河南华益联创商贸有限公司:{"lng":101.55630729532683,"lat":34.511389737869216}
崇明建设387(农工商):{"lng":121.4865448760196,"lat":31.618219831328428}
上海汉万餐饮管理有限公司:{"lng":121.4949302076161,"lat":31.272449302958922}
涵青434店(伍缘折扣店):{"lng":121.3999656169507,"lat":31.10477159531039}
赤峰宏发食品有限公司:{"lng":118.9307611921676,"lat":42.297112320317325}
百色联华超市（专卖加盟）:{"lng":106.63182140365117,"lat":23.901512367910115}
上海龙又橙咖啡企业管理有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
万有全（市十中学）:{"lng":121.50025981018982,"lat":31.183840588911877}
家得利  新华:{"lng":114.4535014286928,"lat":38.117218640478164}
南阳市伊曼清真食品有限公司:{"lng":112.51974178927227,"lat":33.01115116462367}
万宁日用品商业（上海）有限公司川沙东海岸分店:{"lng":121.70540200014574,"lat":31.189196861276766}
上海天目湖宾馆管理有限公司:{"lng":121.41531099987579,"lat":31.249799869004423}
上海百维果业有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
三角地虹联:{"lng":116.22992725434784,"lat":40.224225030668514}
铜川路-唐有明:{"lng":121.42613375309469,"lat":31.26048698391078}
上海的鼎丰酿造有限公司:{"lng":121.77865062822633,"lat":31.33780379878783}
江南路华联超市加盟 预付1 陈彬:{"lng":119.44638567095865,"lat":28.460676874439375}
仁义小吃部:{"lng":121.49223165384714,"lat":31.308764325259528}
福喜（威海）农牧发展有限公司:{"lng":122.09395836580605,"lat":37.52878708125143}
上海东宝百货有限公司:{"lng":121.48969201571275,"lat":31.26328923823499}
重庆斗渝餐饮管理有限公司南坪星光时代广场店:{"lng":106.57701824226939,"lat":29.529802804253766}
青浦蒸淀360(农工商):{"lng":121.02763828476935,"lat":30.987200745919598}
上海必胜客有限公司天山西路店:{"lng":121.38990892147828,"lat":31.21239289286776}
宝杨路104号:{"lng":121.50759921821559,"lat":31.40816140058636}
金鹤幼儿园-学生:{"lng":113.64398211859115,"lat":34.80502175816781}
广州市食品工业研究所:{"lng":113.30764967515182,"lat":23.12004910207623}
上海鸿章贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
联华乐山:{"lng":103.76082423877176,"lat":29.600957611095073}
Z3FP_上海大牧汗食品有限公司:{"lng":121.40267149280784,"lat":31.627319373871106}
平顶山天晶植物蛋白有限责任公司:{"lng":113.30084897797529,"lat":33.74530145652439}
华东理工:{"lng":121.43209827453425,"lat":31.14974244700611}
内蒙古澳菲利食品股份有限公司:{"lng":112.60972191352732,"lat":41.80128925697412}
田头超市平凉路店:{"lng":121.4834595208811,"lat":31.210154782592202}
广州市汇儿贸易有限公司:{"lng":113.31391032557102,"lat":23.1333905035328}
九橙餐饮-虹漕园:{"lng":121.4149694021378,"lat":31.183106272574506}
黑龙江省北大荒米业有限公司郑:{"lng":120.31071314370254,"lat":31.620155823287046}
上海家弘包装制品有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
安吉祖名豆制食品有限公司:{"lng":119.95720242066378,"lat":29.159494120760925}
北京华城世茂贸易有限公司:{"lng":116.44710258257619,"lat":39.89406588285077}
碧江（家得利）:{"lng":109.19370501854442,"lat":27.716136520691244}
重庆璧山"妈咪宝贝":{"lng":106.31876671430918,"lat":29.68110876727935}
上海柴山贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海呼玛商品交易市场经营管理有限公司:{"lng":121.45240667323242,"lat":31.3451306664627}
湖北十堰天鸿立生商贸有限公司:{"lng":112.41056219213213,"lat":31.209316250139747}
(昆山）上海市赫遥食品公司:{"lng":121.54164303915233,"lat":31.22885161827703}
福州田美农业开发有限公司（自采）:{"lng":119.7661466528967,"lat":25.460252005665467}
南充顺庆斗牛士牛排馆红光路店:{"lng":106.09241576894603,"lat":30.782723573623315}
宣城:{"lng":118.75209631098257,"lat":30.951642354295757}
上海宏隆食品经营部:{"lng":121.48789948569473,"lat":31.24916171001514}
鄞县大道1299号鄞州商会大厦南楼29层:{"lng":121.55927868324055,"lat":29.824409928986622}
上海禧沁贸易贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海虹许食品添加剂有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
昌硕科技（上海）有限公司:{"lng":121.62154582397604,"lat":31.13997914218948}
上海兼光食品有限公司长宁路店:{"lng":121.40267149280784,"lat":31.627319373871106}
南华换热器:{"lng":101.03801219789518,"lat":25.103522672438853}
杭州恒克生物技术有限公司（代理）:{"lng":120.2193754157201,"lat":30.259244461536102}
潘群香（吉买盛曹阳店）:{"lng":121.48622899676838,"lat":31.27266427899413}
上海立贝商贸有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
X553 家乐福上海曹路店:{"lng":121.37183965167057,"lat":31.184234035017052}
西诺迪斯食品（上海）有限公司:{"lng":121.44924032327594,"lat":31.286565806272304}
上海乐惠米业有限公司(买断3):{"lng":121.50808387152061,"lat":31.216223263658232}
6、上海天琦食品农产品销售有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
昆山天环裕梅翔副食品商行:{"lng":120.96580778410554,"lat":31.32893679549736}
深圳同利源农业发展有限公司:{"lng":114.0259736573215,"lat":22.546053546205247}
洛场迪亚天天加盟（预付）:{"lng":118.15999377571355,"lat":24.52430318496886}
曹路市场2号:{"lng":121.6740779738263,"lat":31.285059201072645}
五洲付食品:{"lng":113.30498427784013,"lat":22.503802710613886}
佳嘉羽山店:{"lng":113.45401750879662,"lat":23.11008741743509}
上海真惠餐饮有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
杭州和韵科技有限公司:{"lng":119.72365931035776,"lat":29.811268603907106}
上海绩申酒店管理有限公司:{"lng":121.35290905330258,"lat":30.852389288685707}
瞿溪341(伍缘折扣超市):{"lng":121.420203541785,"lat":31.02646230348805}
上海华果果品贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海雷享实业有限公司（中粮尚品南期昌店）:{"lng":121.43723806515374,"lat":31.097555529285955}
宁波国晨阳水产食品有限公司:{"lng":121.42275674510073,"lat":29.3030811111491}
郑州市金水区双汇冷鲜肉店顺河东街店:{"lng":113.60914752242348,"lat":34.758527930304396}
小徐菜店加盟 预付1:{"lng":119.06558488533268,"lat":29.612702789764644}
上海兼光食品有限公司虹口店:{"lng":121.40267149280784,"lat":31.627319373871106}
广州康智贸易有限公司:{"lng":113.24049855355608,"lat":23.08053649636564}
启诚食品:{"lng":113.88183970646224,"lat":23.00054917620696}
上海市普陀区中福冻品行:{"lng":121.39844294374956,"lat":31.263742929075534}
武汉-谢玲玲:{"lng":114.31620010268132,"lat":30.58108412692075}
兴化市统全食品有限公司:{"lng":120.28554210319408,"lat":33.068745499408216}
周艳红:{"lng":113.63039864424587,"lat":34.75876422290243}
春雷路菜场南门:{"lng":121.44049249037225,"lat":31.418318528336854}
欧尚长阳 177:{"lng":121.54412838010848,"lat":31.276445862964096}
锦江麦德龙现购自运有限公司普陀商场:{"lng":121.3913233789614,"lat":31.24788575484311}
联华南丹:{"lng":107.46800068752924,"lat":25.11943883054002}
107西藏店:{"lng":89.1379816840313,"lat":31.36731540271471}
大连兴业源农副产品有限公司:{"lng":121.59347778143518,"lat":38.94870993830429}
松江荣乐店（家乐福）:{"lng":121.22679050142115,"lat":31.021244628098586}
福建古田新蓉菌业:{"lng":118.87954004138562,"lat":26.618899035407885}
上海市金山区杰汉食品经营部:{"lng":121.3469069998851,"lat":30.854883847850157}
上海市闵行区杜成兵熟食店:{"lng":121.42502428093465,"lat":31.093537540382123}
上海市普陀区海兵清真牛羊肉商店:{"lng":121.39844294374956,"lat":31.263742929075534}
内蒙古蒙牛达能乳制品有限公司:{"lng":114.41586754816612,"lat":43.46823822194904}
上海川湘调料食品有限公司:{"lng":121.40267149280784,"lat":31.627319373871106}
文诚卜蜂莲花:{"lng":116.4887278662465,"lat":40.004544502908516}
上海市军工路国太综合市场经营管理有限公司:{"lng":121.55153275579995,"lat":31.32629976678032}
大润发连云港店:{"lng":119.19896404894074,"lat":34.61452757095579}
佳客多超市金水苑店（加盟超市）:{"lng":117.24422846921792,"lat":31.872957651562338}
上海连通大酒店有限公司:{"lng":121.428369677854,"lat":30.80058665559757}
乐购莘庄店:{"lng":121.3786125805716,"lat":31.124641569631113}
吴泾1:{"lng":121.46231340917622,"lat":31.072595262027008}
上海市凉城路第二小学:{"lng":121.47760789411112,"lat":31.303933553964637}
上海联尚实业有限公司:{"lng":121.49364221537927,"lat":31.376608225661624}
上海江桥批发市场经营管理有限公司华江分公司:{"lng":121.42911572058003,"lat":31.266719143560042}
上海东山食品有限公司:{"lng":121.7003023862402,"lat":31.00545101187615}
7-11便利店:{"lng":106.62867546679013,"lat":26.687345985373746}
松江物美:{"lng":121.22679050142115,"lat":31.021244628098586}
青浦公园东路（家乐福）:{"lng":121.14945045226227,"lat":31.158337451313653}
马鞍山市顺旺商贸有限公司:{"lng":118.515881846623,"lat":31.688528158880025}
天佑香料调料配送中心:{"lng":116.29370694555628,"lat":39.88516957156238}
上海市下沙学校中学部B2-1607a:{"lng":121.6019078046291,"lat":31.087758927778793}
B2-1607a下沙学校中学部0602a②学生:{"lng":121.6019078046291,"lat":31.087758927778793}
上海馋神食用农产品配送有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
新成幼儿园-学生:{"lng":121.2781962653933,"lat":31.386671107196015}
长兴岛(江南食堂)（ S四）-M:{"lng":121.60306467281754,"lat":29.890458789595474}
上海农工商大仓:{"lng":121.48789948569473,"lat":31.24916171001514}
上海南石农副产品市场经营管理有限公司:{"lng":121.41184395203119,"lat":31.254184199056525}
上海金磐农产品销售中心:{"lng":121.48789948569473,"lat":31.24916171001514}
B1-0815戏剧学院附属中学3004①:{"lng":116.70381717150924,"lat":28.99577397294629}
市光2店224(伍缘折扣超市):{"lng":121.420203541785,"lat":31.02646230348805}
紫荆小学-学生:{"lng":104.05948118812128,"lat":30.615712088892714}
怡乐食兴韦信息技术职业学院:{"lng":108.3881826897474,"lat":30.793883141979414}
上海谷全农业科技有限公司明珠路店（预付）:{"lng":121.27444668249971,"lat":31.179451703993298}
深圳精益油脂技术有限公司:{"lng":113.94809353404031,"lat":22.55069755510562}
睿芝康粮油:{"lng":108.04383659574496,"lat":24.07661649724582}
上海牛羊肉:{"lng":121.48789948569473,"lat":31.24916171001514}
沪青平2店440店(伍缘折扣超):{"lng":121.34102509752451,"lat":31.175065669281075}
上海勋帆商贸有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
(航华)上海沀仪餐管理有限公司:{"lng":121.35822118024092,"lat":31.179005953784937}
泰州联成贸易有限公司:{"lng":119.91960601619071,"lat":32.47605327483028}
三久公司:{"lng":120.90686524115816,"lat":30.84335758054128}
弘品源食品经营部:{"lng":113.04115369146115,"lat":23.711164212841354}
上海宝忱贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
永昌市场:{"lng":124.38355486827975,"lat":40.12696461696582}
上海冯达豆类食品有限责任公司:{"lng":121.48789948569473,"lat":31.24916171001514}
世纪联华体育场专卖:{"lng":121.59350372521006,"lat":29.88565641466005}
上海市浦东新区东明路街道三黄鸡饭馆:{"lng":121.50784887479921,"lat":31.149954029736033}
上海马苏商贸有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
芭芭露莎餐饮（上海）有限公司:{"lng":121.47841857890165,"lat":31.237308831521467}
上海捞福来蔬菜专业合作社:{"lng":121.20337415100855,"lat":31.251632453693226}
江海一小分校（学生）b2-1405:{"lng":121.46159785853241,"lat":30.91348336456911}
上海市普陀区岚桥副食品经营部:{"lng":121.39844294374956,"lat":31.263742929075534}
上海市徐汇区华粮食品商店:{"lng":121.4289830246867,"lat":31.146172226302028}
邢台煜圣园商贸有限公司:{"lng":114.49666621127832,"lat":37.051238906088706}
澳可堪沃（上海）贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
御桥批发市场:{"lng":121.56591911584734,"lat":31.163848759403553}
上海汽车商用车有限公司无锡分公司:{"lng":120.30545590053595,"lat":31.57003745192303}
家乐福哈尔滨平房店:{"lng":126.65771685544611,"lat":45.7732246332393}
六里镇34号:{"lng":121.53854172112494,"lat":31.182824640946883}
内蒙古巴美羊业有限责任公司:{"lng":114.41586754816612,"lat":43.46823822194904}
上海兴桥农贸市场经营管理有限公司:{"lng":121.40117190919969,"lat":31.6323155124953}
上海市金山区胜柏食品经营部:{"lng":121.34711901997274,"lat":30.85961921610548}
联华东门（五星）:{"lng":121.71402517070227,"lat":31.07508210396915}
苏州美香悦食品:{"lng":120.61990711548988,"lat":31.317987367952437}
B1-1004长桥第二小学 $1903②:{"lng":81.85147158056809,"lat":43.21998304610745}
上海地产投资馨宁店:{"lng":121.48789948569473,"lat":31.24916171001514}
政东塑拖:{"lng":114.10396233184046,"lat":23.034478732273385}
汕头市金园调味品食品有限公司:{"lng":116.72865028834109,"lat":23.383908453269196}
味之鲜-上海谷动:{"lng":121.48789948569473,"lat":31.24916171001514}
福建省泉州晶海轻化有限公司:{"lng":118.91075654090606,"lat":25.118353679718226}
农工商红利会员店(1000):{"lng":104.24209232541165,"lat":33.26805268355861}
上海金源综合市场经营管理有限公司张堰东风市场分公司:{"lng":121.2957050599357,"lat":30.810940241740283}
蔷薇菜市场（范立飞）（专卖）:{"lng":121.44087916867393,"lat":31.121763649680428}
献明副食品经营部:{"lng":121.3567328038923,"lat":31.169980363414385}
安徽海汇食品商贸有限公司:{"lng":117.2160052075697,"lat":31.85925241707919}
舟山海林水产:{"lng":122.1698720983516,"lat":30.036010302553937}
上海私立蒙特梭利幼儿园:{"lng":121.30223391383983,"lat":31.16949363069432}
上海福洋水产:{"lng":121.48789948569473,"lat":31.24916171001514}
上海峰青图文设计有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
义乌佳丰食品（单小康）:{"lng":120.06729564866686,"lat":29.30644391183944}
B1-0405a华坪小学0203a①学生:{"lng":121.42932801442629,"lat":31.00759125393797}
上海安蓝豆类食品有限公司:{"lng":121.49342999339746,"lat":31.143881798282138}
上海松江乐购生活购物有限公司:{"lng":121.22426863117059,"lat":31.044781956972344}
上海市闵行区益隽熟食店:{"lng":121.42502428093465,"lat":31.093537540382123}
B2-1610a闵行区莘松小学1202a②学生:{"lng":121.37145379891163,"lat":31.12230883578424}
上海市青浦区金泽幼儿园:{"lng":120.93139259546362,"lat":31.03874065905331}
佳侬食品上海有限公司:{"lng":114.18072425340625,"lat":22.297489438182087}
吉安市永新县宝宝仔孕婴店:{"lng":114.24672557179709,"lat":26.949901801744407}
上海阳普菜市场经营管理有限公司渭南路分公司:{"lng":121.54180264558381,"lat":31.26759991842051}
上海格信健康科技有限公司:{"lng":121.41348439623145,"lat":31.178051701119664}
63号店:{"lng":116.35026336215898,"lat":39.81759797069767}
西区老大房（天涯）:{"lng":101.5553323090427,"lat":26.610869144062764}
永清206(伍缘折扣超市):{"lng":116.56055697010446,"lat":39.30283643021088}
上海市农产品批发市场:{"lng":121.48789948569473,"lat":31.24916171001514}
家乐福沈阳青年店:{"lng":123.43279092160505,"lat":41.808644783515746}
科技学院（石湖校区二食堂）:{"lng":116.02436080264081,"lat":28.68956984093114}
安亭小学-小学生:{"lng":121.16013519084554,"lat":31.307220367734725}
临朐鑫誉食品有限公司:{"lng":118.55825637253565,"lat":36.36538883954335}
深圳市怡亚通深度供应...:{"lng":114.06536366042917,"lat":22.50929776425869}
江场23(伍缘折扣超市):{"lng":121.420203541785,"lat":31.02646230348805}
金光食品（宁波）有限公司宁波第一分公司:{"lng":121.57900597258933,"lat":29.885258965918055}
商丘市万象面粉有限公司:{"lng":115.64188568785016,"lat":34.43858864024636}
上海龙辉餐饮管理有限公司南方商城店:{"lng":121.40768001763637,"lat":31.137508822183957}
欧尚超市有限公司(北京5店):{"lng":116.46918688455568,"lat":40.02269385820758}
南通浩盛海水养殖有限公司:{"lng":121.68112050936342,"lat":32.0556245067837}
梅州市梅县区隆文镇优家宝贝母婴用品商行:{"lng":116.35745347286836,"lat":24.59700446744658}
麦德龙超市  虹口:{"lng":121.49191854079479,"lat":31.28249722898657}
宝山顾村店（上蔬永辉）:{"lng":121.37505676127819,"lat":31.355885250637197}
荣成仁一食品有限公司:{"lng":122.59196113342769,"lat":37.340580603455315}
华联吉买盛曹杨店15:{"lng":121.4119793527224,"lat":31.245068154302597}
青浦区凤溪新鲜菜店:{"lng":121.23354652630823,"lat":31.204016026278698}
鸿记面馆:{"lng":114.17691722297825,"lat":22.334371966989615}
新安A14:{"lng":112.12774350043826,"lat":34.83760694667465}
赛旺达咸肉批发部:{"lng":120.6756510147588,"lat":31.336457473245463}
上海宝山乐购生活购物有限公司:{"lng":121.4987359247227,"lat":31.31737153448721}
雅培制药有限公司:{"lng":121.73805672953574,"lat":30.873162483748075}
深圳市同利源农业发展有限公司:{"lng":114.0259736573215,"lat":22.546053546205247}
联华枫泾:{"lng":117.58838203638463,"lat":37.6482133376972}
家得利康健专卖:{"lng":117.0693097510774,"lat":30.512837221988722}
北京瑞申特商贸有限公司:{"lng":116.42381526985771,"lat":39.93710681713343}
同济大学嘉定中点餐厅:{"lng":121.2269038265536,"lat":31.287109552525955}
上海友谊食品特供有限公司:{"lng":121.42983980243126,"lat":31.19614262046389}
上海市闸北区登杰调味品经营部:{"lng":121.4577688102147,"lat":31.288044465926138}
上海斗牛士餐饮管理有限公司:{"lng":113.15536982345618,"lat":29.367743455934704}
上蔬永辉-周浦沈梅东路店:{"lng":121.58267655598321,"lat":31.25012947011266}
南通市利德商贸公司:{"lng":120.87380095093022,"lat":32.014664540823446}
强生汽车-利仕餐饮:{"lng":121.48650046469348,"lat":31.29588214604568}
家得利虹桥:{"lng":117.0693097510774,"lat":30.512837221988722}
海天调味食品有限公司:{"lng":113.1284760836157,"lat":23.05260836004839}
惠多购物广场:{"lng":113.39573059647874,"lat":22.790386255048485}
湖南红星盛业食品股份有限公司:{"lng":111.720663546476,"lat":27.695864052356377}
曲阳易买得:{"lng":114.66066397519262,"lat":38.70661221492098}
上海唛再格食品有限公司:{"lng":121.15804596938199,"lat":31.157357254577185}
上海黄浦区灵灵制面坊:{"lng":121.49607206403445,"lat":31.227203440768868}
南京和风餐饮:{"lng":118.77807440802562,"lat":32.05723550180587}
上海乡窝人食品有限公司:{"lng":121.13896666192667,"lat":30.9399600190965}
（淞沪路店）上海玛满矿餐饮管理有限公司淞沪路店:{"lng":121.52205521711731,"lat":31.307465890225483}
德华粮油:{"lng":114.18890211235946,"lat":22.280786031440428}
上海兆宏餐饮管理有限公司:{"lng":121.35312504160298,"lat":31.1630465910146}
世纪联华 淞南:{"lng":121.48748051600487,"lat":31.345597051944196}
上海市松江区九亭镇寿康副食品经营部:{"lng":121.33564508204556,"lat":31.13840424886325}
靖宇44号:{"lng":126.90246851454675,"lat":42.449966505532906}
厦门中联宝田贸易有限公司:{"lng":118.10388604566381,"lat":24.489230612469232}
苏运冻品:{"lng":116.67340926051489,"lat":23.356886865155076}
上海港丽餐饮管理有限公司南京东路分公司(宏伊):{"lng":121.49022906317036,"lat":31.24286665289003}
杭州:{"lng":120.2193754157201,"lat":30.259244461536102}
上海华新菜市场:{"lng":121.23040401378677,"lat":31.251587139716694}
上海必胜客有限公司常德餐厅:{"lng":121.44340401530981,"lat":31.246763896467233}
上海青浦区天星民办幼儿园:{"lng":121.22653064259728,"lat":31.25888240726594}
亭林市场:{"lng":106.89729890741938,"lat":23.4184158633453}
上海爱礼食品有限公司:{"lng":121.31707572735705,"lat":31.109235575701213}
欧尚超市有限公司(无锡4店):{"lng":120.34208682296072,"lat":31.575584807524816}
九江共青城阿拉小优母婴店:{"lng":115.82020447699868,"lat":29.23608384673906}
连云港-李道翠:{"lng":119.17387221741889,"lat":34.60154896700999}
上海伊纳思贸易有限公司:{"lng":121.40990465236742,"lat":31.304991891376055}
宝应县优豆贸易有限公司:{"lng":119.4556507838387,"lat":33.22583365836416}
中粮食品营销有限公司上海:{"lng":121.48789948569473,"lat":31.24916171001514}
上海宏展食品（新旺央厨）:{"lng":121.48789948569473,"lat":31.24916171001514}
蓬莱-老吴:{"lng":120.86269428183942,"lat":37.66116041083425}
上海华漕农贸市场:{"lng":121.33551749661228,"lat":31.22842904072869}
澳杰安博国际贸易（北京）有限公司:{"lng":116.39564503787867,"lat":39.92998577808024}
福州开发区鑫鸿益食品有限公司:{"lng":119.33022110712668,"lat":26.04712549657293}
上海乐春重工机电设备有限公司:{"lng":121.44797591425366,"lat":31.234473974423597}
车城物业管理有限公司(车城物业餐厅食堂):{"lng":120.27254570857987,"lat":29.70215487827771}
深圳大通商贸易发展有限公司:{"lng":114.0259736573215,"lat":22.546053546205247}
上中3店460店(伍缘折扣超):{"lng":115.2884813408976,"lat":30.586208118583897}
宁德市东侨经济开发区工业集中区农产品加工:{"lng":119.54861184263787,"lat":26.666924678439106}
上海新尚实国家贸易有限公司:{"lng":121.36041655087335,"lat":31.159252648310417}
